reviews,ratings
คุณหมอ พยาบาล และเจ้าหน้าที่ มีความเป็นกันเองมาก ทำให้มีความสบายใจเมื่อต้องไปที่โรงพยาบาลนี้  แม้ว่าช่วงนี้จะปรับปรุงสถานที่ และสร้างตึกใหม่อยู่ แต่ก็ยังได้รับบริการที่ดี  สำหรับบรรยากาศภายในโรงพยาบาล ถือว่าดี เพราะภายในมีสวนหย่อม นั่งพักผ่อนได้ หรือหากต้องการฆ่าเวลา ก็มีตลาดนัดให้ไปเดินจับจ่าย ซื้อของ,1
"หมออายุรกรรม(ห้องฉุกเฉิด)รอบวันที่30 มิ.ย.2561
บริการได้หวยแตกมากๆ ผมมาเจาะเลือดวัดผลไข้เลือดออกตั้งแต่เวลา 13.00น
ผลออกมาแล้วตั้งนานแต่กลับไม่มาตรวจว่าจะเอาอย่างไรกับคนไข้ปล่อยให้ผมรอจนถึง5.30นผมเดินไปถามหมอ หมอบอกว่าต้องรออีก และหมอทั้งสองท่านก้อยังนั้งอยู่ที่โต๊ะของตัวเองอย่างสบายใจ

ส่วนพยาบาลก้อทำงานตลอดดีหน่อย
แต่ผู้ช่วยพยาบาลนี่ไม่ไหวหาแต่ของกินและจับกลุ่มคุยกันสบายใจเลย",0
"26/3/61 ไปรอตรวจที่ชั้น9Aตั้งแต่8โมง ยันบ่าย3. ยังไม่ได้ตรวจเลย. หมอห้องเบอร์5 เป็นผู้หญิง เรายืนแอบมองเห็นเพราะมีคนไข้เปิดประตูไปถามหมอเมื่อไหร่จะเรียกรอนานแล้ว ทั้งๆที่ในห้องก็ไม่มีคนไข้เลย. หมอตอบมาว่า""รอนานยังไงก็ต้องรอค่ะ"" 7 ชั่วโมง ตรวจไป13คน. รอหมอห้องนี้เยอะมาก พอตรวจเสร็จคนไข้ออกมา ก็ไม่กดเรียกคิวต่อไป. แย่มากมีแต่คนไข้ว่า. ",0
บริการดีอยู่ค่ะแต่พยาบาลหญิงแพน ศรรยกรรมชายชั้น8คนตัวอ้วนสูงดำ ไม่รู้ชื่อค่ะเราแค่ถามดีๆกลับด่าเราเช่ยแถมยังทำท่าเป่ปากใส่แล้วเดินหนีอีกคนป่วยปวดท้องเราก็ไม่รู้จะทำไงแค่พูดดีกับเราก็ไม่ได้ยังด่า ชุดที่คุณใส่น่าจะอยู่ทึ่คนดีๆค่ะปากแบบนี้ไม่น่าได้ใส่ชุดดีๆเลยค่ะมีแต่คำด่าป้าเตียงข้างๆและอีกหลายคนก็โดนเหมือนกันค่ะ,0
บริการแย่มาก ข้ามคิว กดเบอร์คนที่มาที่หลังไปก่อนคนมาก่อน ไม่แฟร์ และหมอไม่ค่อยใส่ใจคนไข้ อยากให้ปรับปรุง,0
พนักที่นี่เค้าไม่แบ่งระว่างการใช้เงินสดหรือบัตรประกันสังคมเค้าบริการดีทุกคน,1
มีความล้าช้า คนใช้บริการมาก พนาบาลดูแลไม่ทั่วถึง,1
อาจารย์หมอสุรศักดิ์ เก่าเอี้ยน ให้คำแนะนำดี,1
รพ.ราชวิถี คลีนิกพิเศษ คุณหมอและคุณพยาบาลดูแลดีมาก ตรวจอย่างละเอียดและให้คำแนะนำทุกอย่าง เส้นทางในรพ.ถึงแม้จะคับแคบ แต่มีลูกศรชี้ให้ตามทางเดินทุกช่วงและสามารถสอบถามใครก็ได้ ห้องน้ำสะอาดและสวยงามมาก แผนกERถึงบางครั้งเป็น นศพ.แต่ก็รักษาได้ดีมี อ.หมอคอยกำกับและดูแลอย่างใกล้ชิด เดินทางสะดวกติดรถไฟฟ้า สามารถใช้สิทธิเบิกตรงได้หากเป็นข้าราชการ พยาบาลฝ่ายคัดกรองช่วยให้คำปรึกษาและส่งตัวไปยังแพทย์เฉพาะที่ดีสุดในวันนั้น ถือว่าเป็น รพ.รัฐ ที่ดีพร้อมทุกอย่าง ทั้งบุคลากร เครื่องมือ การเดินทาง ค่าใช้จ่ายที่ค่อนข้างถูกมาก และคลีนิกพิเศษ ที่ไม่ต้องรอนานมาก,1
ประทับใจในการรักษาของแพทย์ทุกคนที่ตั้งใจให้การช่วยเหลือผู้ป่วย,1
พญาบาล คุณหมอพูดจาดีมากค่ะ ดีกว่าแต่ก่อนเยอะมากกกกกก,1
เป็นมะเร็งที่รังไข่ค่ะ มาหาหมอแรกๆก็กลัวและตื่นเต้นคุณหมอก็ตรวจเพิ่มและส่งตรวจเพิ่มเติมอีกหลายอย่างและหาวันผ่าตัดให้ทันทีเร็วสุดคือสองเดือนครึ่ง คุณหมอและพยาบาลที่นี่พูดเพราะและให้คำแนะนำทีี่ดีมากปฏิบัติกับคนไข้แบบไม่รังเกียจและไม่แยกชนชั้นของคนไข้ ดิฉันรู้สึกขอบพระคุณและชื่นชมคุณหมอคุณพยาบาลที่ราชวิถีที่ให้โอกาสดิฉันมีความสุขกับชีีวิตน้อยๆนี้ต่อไปค่ะ,1
บริการขั้นพื้นฐานที่รวดเร็ว เป็นระบบขั้นตอน ไม่ทำให้ผู้ป่วยเสียเวลานาน,1
คุณหมอและพนักงานบริการดีค่ะ,1
เป็นโรงพยาบาลของรัฐที่มีการดูแลประชาชนค่อนข้างดี แต่ใช้ระยะเวลาค่อนข้างนาน,1
ผ่าตัดเมื่อวันที่ 4/1/60 นอนห้องพิเศษชั้น 8 คุณพยาบาลใจดี ดูแลดีมาก ๆ เข้ามาถามเป็นระยะว่าปวดมั้ย อยากได้ยาแก้ปวดมั้ย,1
บริการดี. เป็นมิตร,1
เดินทางสะดวก ทางรพ.มีความพยายามในการให้บริการที่ดี แต่คนใข้มากจริงๆ วันนี้ก็เต็มไปหมด แถวยาวเกือบรอบรพ. :(,1
ต้องปรับปรุงอย่างแรง..ครับ วันนี้ไปตรวจตาถึงรพ.6:30ทำบัตรใหม่พร้อมกับเพื่อนน้องอีกคน ผมได้คิว176 น้องได้คิว170 น้องได้ห้อง1ตรวจเสร็จ10โมง ส่วนผมได้ห้อง6(ขอไม่เอ่ยชื่อคุณหมอละกันครับ)รอจนจะบ่าย2ยังไม่ได้รับการตรวจ ไม่อยากนึกถึงคิวก่อนหน้าผมอีกเท่าไร หลังผมอีกเท่าไร ไม่ไหวครับรับไม่ได้จริงๆที่ต้องใช้เวลา7-8ชั่วโมงเลยไปรายงานไว้ที่ศูนย์ฯของรพ.ให้ปรับปรุงอย่างเร่งด่วนแล้วก็กลับบ้านเลยครับไม่ตรงไม่ตรวจแล้วครับแบบนี้,0
ระบบห่วย บัตรทองตีเปนเสียเงินเอง พยาบาลช้า ไล่ไปห้องนั่นที่นี้ที รอมาตั้งแต่เช้า เปนรพ.ที่แย่มากๆบริการแย่ ไม่รุ้ว่ารักษาคนหรือสัตว์ ปากสุนัขมาก ค่ะ,0
พนักงานปากโถส้วมสุดสุด...ทำหน้าตาก้ไม่ดี,0
มาคลอดลูกที่ รพ พยาบาล ให้ห้องคลอดและ จนท พยาบาล ที่ดูแลในตึกพักคนไข้ น่ารักทุกคน พูดจาดี ดูแล เอาใจใส่ดีมาก รวมไปถึง แม่บ้านทุกคน ขอบคุณ จนท ทุกคนด้วยนะคะ และขอเป็นกำลังใจในการทำงานคะ ตึก พิเศษ 5ก,1
อยากจะแนะนำครับ อาคารที่จอดรถถ้าเต็มแล้วทำไมต้องให้ขึ้นไปวนเล่นละครับ รปภ. ก็มีทุกชั้นทำไมไม่ใช้เครื่องมือในการสื่อสารแจ้งกันละครับ วนรถขึ้นไปมันเสียเวลาที่จอดก็ไม่มี หรือเก็บเงินจากการวนรถเล่นหรอครับ เรียนเพื่อทราบ,0
ให้การรักษาดีมาก บริการอื่นดีทุกเรื่องสถานที่เหมาะสม,0
ไปรักษาหัวใจที่โรงพยาบาลราชวีถีพยาบาลให้ความช่วยเหลือเป็นอย่างดี,1
เวรเปลพูดจาไม่ได้เรื่อง ตะโกนด่ากันข้ามหัวคนอื่น แย่ๆ,0
พนักงานห้องกรอกประวัติมารยาททรามมาก นึกถึงหัวอกคนกำลังป่วยบ้างนะ มายั่งหน้าบูทใส่คนไข้บ้าหรือเปล่าคุณ,0
กราบขอบพระคุณ..คุณหมอพุทธิพร เย็นบุตร มากคะ ท่านมีเมตตา จิตใจดี ไม่ดุคนไข้ที่มาหา ดูแลไม่ถือตัว ไม่คิดว่าจะได้พบแพทย์จิตใจดีขนาดนี้ในโรงพยาบาลของรัฐ....ซึ้งน้ำใจคุณหมอมาก เก่งมากด้วย แอบได้ยินนักศึกษาแพทย์คุยกัน ว่าได้เรียนกับอาจารย์เราต้องเป็นแพทย์ที่ดีในอนาคตแน่ ได้ยินแล้วปลื้มใจแทนท่านจัง...,1
"ผมไม่คิดอย่างไรกับร.พ.ราชวิถีแต่ที่ร.พ,คีรีรัฐเก็บค่าวันสำคันคนละ๕๐บาทเอาออกเอาในพอกจา่ยตรงก็แพงมากๆ",0
สำหรับแพทย์และพยาบาลที่ทำหน้าที่ดีอยู่แล้วก็ขอให้ดีต่อไปนะ แต่ที่ผมจะพูดถึงคือแพทย์และพยาบาลที่ไม่มีจรรยาบรรณ วินิจฉัยโรคมั่วซั่วและไม่ใส่ใจคนใข้ พูดจาหมาไม่แดก และส่วนใหญ่ผมก็มักจะเจอแต่ประเภทนั้น ถ้าพวกคุณไม่เต็มใจจะรักษาแล้วจะเรียนหมอมาทำ...อะไรล่ะครับ แล้วไม่ต้องมาอ้างน่ะครับว่าคนใข้เยอะ ในเมื่อคุณเลือกที่จะจบแพทย์แล้วคุณก็ต้องทำใจยอมรับในหน้าที่ของคุณอยู่แล้ว ถ้าไม่อยากเจอคนใข้หรือไม่เต็มใจจะรักษาก็ไปเป็นยามสิครับ ปล.ถ้ามีโอกาสเดี๋ยวผมจะบันทึกชื่อพร้อมพฤติกรรมมาให้ได้ชื่นชมกันนะครับ,0
สงสารคุณหมอ คนไข้40-50คน หมอคนเดียว ยิ่งคนที่เรืยกชื่อวัดความดันชั่งน้ำหนัก คนไข้เป็น100 แต่ทีมไม่ถึง10คน ช้านิดช้าหน่อยก็รอหน่อย คนที่ใด้พบหมอก่อนก็เพราะเขามาก่อนเรา,1
วันนี้ไปตรวจร่างกายมา ขอชื่นชมพยาบาล เวชศาสตร์ครอบครัว ชั้น 9B โต๊ะ 2 ที่มีอายุหน่อย บริการดีมากๆ พอเข้าห้องตรวจห้อง 13 พญ.หัตถาญจน์ ก็พูดจาดีและเอาใจใส่ดีมาก ขอบพระคุณอย่างสูงครับ ปกติใช้บริการ รพ.เอกชน คราวนี้ใช้ รพ.ราชวิถี รู้สึกดีมากๆไม่ต่างกับ รพ.เอกชนที่เคยใช้บริการครับ และคิดว่าไม่ว่าคนไข้จะใช้สิทธิราชการ ประกันสังคม และบัตร 30 บาท การให้บริการก็คงไม่ต่างกัน เพราะทุกคนย่อมมีสิทธิเข้าถึงการรักษาพยาบาลที่เท่าเทียมกันตามรับธรรมนูญ ครับ,1
หมอตรวจห้องฉุกเฉินเคยคุยกับคนไข้บ้างไหมคะ นึกว่ามาหาเด็กฝึกงาน แย่คะ ห่วยสุดๆ,0
อยากรู้ว่าใบชันสูตรบาดแผลปรกติกี่วันจึงจะได้รับเพราะรักษาตัวหายมาเกลือบสามเดือนแล้วยังไม่ได้รับเลยมีผลกับคดีความอย่างมากรออยู่อย่างเดียว..ไม่รู้ใครจะให้คำตอบได้บ้าง ทางตำรวจก็บอก รพ.ยังไม่ออกให้คือมันนานแล้วคะควรทำไงดีคะ,0
พยาบาลพูดจาแย่มากๆ เงินเดือนที่ได้รับอยู่ ก็มาจากภาษีของประชาชนรึเปล่า,0
มาทำแผลรถล้ม มาถึงคือยื่นบัตรปกติ พยาบาลกับผู้ช่วยพยาบาลที่ซักประวัติพูดจาแย่มาก!!!!! ชุ่ยมาก ไม่มีมารยาท ใช้คำพูดและวาจาที่ไม่เหมาะสมสุดๆ คิดบ้างนะคะไม่มีใครอยากมาโรงพยาบาลกรอกค่ะถ้าเขาไม่ได้บาดเจ็บหรือป่วยอะไรจริงๆ คุณทำอาชีพนี้ควรที่จะคิดและไตร่ตรองก่อนแสดงกริยาท่าทางใดๆออกมา การกระทำของคุณวันนี้คุณไม่ควรที่จะมาทำหน้าที่ตรงนี้เลยค่ะ,0
แผนกกระดูก พยาบาลจำนวนหลายคนบริการที่แตกต่างกันมาก ทั้งๆที่ทำงานเท่าๆกัน แต่บางคนเลือกที่จะแสดงออกมาอย่างยิ้มแย้ม พร้อมจะตอบคำถาม พูดคุยถามทุกสุขดิบ บางคนแค่ถามคำถามเล็กน้อยที่ไม่เหนือบากกว่าแรงเลย ทำสีหน้าไม่ดี พูดจาประชดประชัน มองหางตา ทั้งๆที่เราไม่ได้ถามอะไรที่ผิดด้วยซ้ำ ทุกอาชีพมีหน้าที่ที่ต้องรับผิดชอบแตกต่างกันออกไป ดังนั้นอาชีพพยาบาลที่คุณเลือกที่จะทำแล้วคุณต้องทำมันให้ดีที่สุด ไม่ใช่ว่าจะอ้างอยู่ตลอดว่าคนเยอะ ร้อน เหนื่อย กาอนทำงานคุณต้องทราบดีอยู่แล้วว่าอาชีพของคุณคืออาชีพบริการและเป็นหารบริการคนที่ไม่สบายทั้งกายและใจ หมดความรู้สึกมากและหมดคำจะพูด ที่เลือกที่นี่เพราะหมอดีและเก่งจริงๆ ไม่งั้นไม่มาแน่นอนเพียงเพราะพยาบาลทำลายบรรยากาศของสถานที่ที่คนมาฝากความหวังและกำลังใจ ....,0
น่าจะติดลบมากกว่า ------0000000-------------,0
เมื่อวันที่25/03/59ผมไปตรวจตาเพราะตาเจ็บและแดงที่ห้องจักษุหมอบอกว่าตาติดเชื่อแต่ผมมองเหนและหมอได้ขูดเอากระจกตาผมจึงทำให้ผมมองไม่ชัดแต่หมอบอกว่าวันเดียวผมมองไม่ชัดมา4วันแล้วผมกลัวว่าจะมองไม่เหนอีกเลยโรงบาลจะต่องรับผิดชอบด้วยนะหมอที่ขูดตาผมด้วยไม่งั้นผมแจ้งรัฐข้อหาทำให้ผมมองไม่เหน,0
ยามพูดจากวนส้นตีนชิบหาย,0
เป็นสถานที่ๆให้บริการประชาชนที่ดีที่สุดทั้งแพทย์และพยาบาลมีน้ำใจช่วยเหลือทุกคนเท่าเทียมกันหมด,1
ขับรถถึงตั่งแต่ตี5ครึ่งกว่าจะได้จอด7โมงที่จอดก็ไม่มีมาก็ไกลถ้าผมปวดตาตาคงบอดไปแล้วที่เปนโรงบาลที่ไม่มีที่จอดรถสำหรับรถตู้,0
นัดไปเพื่ออะไรค่ะ คนเค้าก็ทำมาหากินนะไม่ได้มีเวลามานั่งว่างๆรอหมอได้บ่อยๆ แฟนเป็นเกี่ยวกะตาค่ะช่วง 2 เดือนเเรกนัดดูอาการทุกอาทิตย์. ไปถึงเช้าตรวจ 4 โมงเย็นอันนี้เข้าใจ แต่วันนี้แฟนไปรอหมอทั้งวัน สุดท้ายก็ไม่ได้ตรวจกะหมอคนนั้น บอกเลยนะค่ะรักษาไม่ได้ใช้สิทธิ์ อะไรเซงค่ะเจออย่างนี้ถ้ารุ้ว่าต้องอบรมนัดคนไข้ไปทำไมเยอะแยะ บ้างคนเค้ามาไกลเข้าใจเค้าด้วยเสียค่ารถ ค่าเวลา,0
ผมว่าก็ดีน้ะ....บางครั้งก็ต้องทำใจเพราะคนป่วยมาที่นี่ค่อนข้างมากการให้บริการของหมอก็รักษาตามอาการ ถ้าเข้าถึงเข้าใจ ท่านก็จะสบายใจน่ะครับ,1
มาไช้บริการตลอดก็เจอแต่เจ้าหน้าที่ดีๆๆๆนะ,1
จัดระเบียบดีมากครับเจ้าหน้าที่ถือว่าดีมากถ้าเทียบกับโรงพยาบาบรัฐฯที่อื่น,1
อยากถามว่ามีใบนัดทำไมต้องไปขอไปส่งตัวและหน่วยคัดกรองด้วยช่วยตอบให้หน่อยเถอะงงมากๆๆๆๆๆๆ,0
ไม่เข้าจัยค่ะว่านัดทำไม่มาตามนัดแต่กับบอกว่าหมอไม่มาคืองงค่ะรอบนี่เป็นรอบที่สองของเดือนมกราคมที่มาโรงพยบาลราชวิถีค่ะแต่ไม่ได้ทำอะรัยให้เลยทางโรงพยาบาลสิงห์บุรีส่งตัวคนไข้มาเจาะหาชิ้นเนื้อที่โรงพยาบาลราชวิถีพอมานางพยาบาลบอกว่าต้องรอให้คนไข้เก่าหมดก่อนถึงจะตรวจคนไข้ใหม่ได้อันนี่เข้าจัยค่ะว่ายังไม่มีประวัติแต่รอบสิงนี่มีใบนัดประวัติมีแล้วแต่กับบอกว่าหมอไม่อยุ่คือรัยอ่ะงงค่ะเพราะปัยทีไม่ได้ใช่ตังบาทสองบาทต้องขึ้นรถปัยไม่ได้มีรถเป็นของตัวเองคือจะนัดทำไม่ค่ะดิชันไม่เข้าจัยค่ะเป็นมนุษย์เงินเดือนนะค่ะ,0
อีคุณอ้วนๆขาววัยกลางคนที่เค้าเตอร์หน้าห้องคลอดชั้น2 สามีบอกช่วยถือของไปที่เตียงให้ได้มั้ย ทำหน้าทำตาขี้เกรียจหน้าตบมาก สามีก็เลยบอกงั้นเดี๋ยวผมเปลี่ยนรองเท้าจะไปส่งเอง มันไม่ให้เข้ามันก็เลยยอมถือของให้เราแทน( คิดจะทำงานบริการเอาแต่สบายเห็นใจคนท้องหน่อยก็ไม่ได้ของมันหนัก ทำงานแบบนี้แต่ใจไม่บริการก็ไม่ต้องทำแล้วแหละค่ะ),0
บุรุษพยาบาลที่ชื่อดนัย นักเลงมากครับ ผมไม่ใช่ไม่กล้า แต่ผมกับพี่พาพี่อีกคนนึงไปหาหมอ และที่คุณหาว่าพวกผมข้องใจหรืออะไรอ้ะ มีแต่คุณที่มาหาเรื่องและเริ่มก่อน และผมก้พูดตรงนั้นว่า ผมขอผมไม่อยากมีเรื่อง ถ้ามีแล้วมันจะเรื่องใหญ่ เพราะพวกผมก็เอาคุณหนักแน่ๆ แต่อารมคือพี่ผมป่วยต้องหาหมอ ผมถึงไม่อยากมีปัญหา อีกอย่างคุณทำงานด้านบริการ คุณไม่น่าทำแบบนี้ เพราะมันส่งผลต่อภาพลักษณ์ของโรงพยาบาล,1
ดีๆๆมากๆๆๆๆรักษาแม่ผมหายครับ ขอบคุณๆ,0
อยากถามว่าลานจอดรถมีไว้ให้แต่หมอ กับเจ้าหน้าที่ในโรงบาลจอดอย่าเดียวหรา ผมวนรถเข้าไป 3 รอบก็มันก็ไม่ให้จอดทั้งๆที่เนื้อที่ก็ว่า แต่มันบอกว่าที่เต็ม แต่ผมก็เห็นรถมันวิ่งเข้าไปจอดกันน่ะ แต่ผมเข้าไปทำไมถึงบอกว่าที่เต็มบอกที (กูงงไอ่สากกก),0
จริงแล้วเราต้องเป็นนักเรียนทุนแพทย์วชิระที่นี่ เพราะวุฒิช่างแท้ กลัวจะได้นายแพทย์จอมโหดมั้งเลยหายเงียบ แหมน่าเสียดายไม่งั้น หากน้องรักพี่น๊ะ พี่เป็นหมอ ถูกใจไอ้คนหล่อๆแบบเรา มาเพื่อให้ได้อะไรสักอย่างเพื่อหลอกเขาทำเมีย เครื่องแบบ ตำแหน่งดีๆ แต่เราเป็นคนทำมาหากินน๊ะเฮ้ย โธ่เดาเราผิดขอบอก นาย อภิชาติ แก้วทอง ข้าราชการ กมร. พยาบาลวิชาการ กรมแพทย์ทหารบก และ กองอนามัย 2540,1
เรียนท่านผู้บริหารโรงพยาบาลนะครับ Service Mind คำเนี่ย อบรมลูกน้องคุณหน่อย อย่าให้ลงรายละเอียดเลยครับ,0
